station_id,year,month,n_rain,R5mm (Days with ≥ 5mm rain),R10mm (Days with ≥ 10mm rain),R20mm (Days with ≥ 20mm rain),SDII (Average Daily Rainfall Intensity),PRCPTOT (Total Precipitation),Rx1day (Wettest day),Rx5day (Wettest 5-Day Period),n_maxdy,n_mindy,FD (Frost Days),TR (Tropical Nights),SU (Summer Days),ID (Icing Days),TNn (Coldest Night),TNx (Warmest Night),TXn (Coldest Day),TXx (Warmest Day),DTR (Diurnal Temperature Range),TN10p (Cold Nights),TN90p (Warm Nights),TX10p (Cold Days),TX90p (Warm Days),Latitude,Longitude,Elevation
ATHENRY,2016,11,30,2,2,0,5.45,54.5,15.3,27,30,30,8,0,0,0,-4.687,9.08,3.212,13.72,6.884,0,0,0,0,53.3,-8.8,40
ATHENRY,2016,12,31,8,3,0,6.9,75.9,12.6,40.2,31,31,6,0,0,0,-4.419,11.43,5.084,14.48,6.436,0,0,0,0,53.3,-8.8,40
ATHENRY,2017,1,31,2,0,0,3.454,44.9,9.3,26.4,31,31,6,0,0,0,-2.803,9.45,3.51,12.44,5.572,0,0,0,0,53.3,-8.8,40
ATHENRY,2017,2,28,6,3,0,5.362,85.8,16,41,28,28,6,0,0,0,-2.705,9.47,4.453,12.45,6.344,0,0,0,0,53.3,-8.8,40
ATHENRY,2017,3,31,11,5,1,6.455,142,20.4,54,31,31,3,0,0,0,-0.524,10.2,5.528,16.74,7.132,0,0,0,0,53.3,-8.8,40
ATHENRY,2017,4,30,0,0,0,2.325,9.3,3.2,23.3,30,30,0,0,0,0,0.217,9.81,10.23,17.61,6.97,0,0,0,0,53.3,-8.8,40
ATHENRY,2017,5,31,4,3,0,7.212,57.7,15.4,35.2,31,31,0,0,0,0,1.975,13.51,13.9,24.96,9.795,0,0,0,0,53.3,-8.8,40
ATHENRY,2017,6,30,6,4,1,6.5,117,31.5,43.1,30,30,0,0,0,0,6.637,15.9,14.16,24.21,6.394,0,0,0,0,53.3,-8.8,40
ATHENRY,2017,7,31,10,5,1,8.927,133.9,30.1,62.4,31,31,0,0,0,0,5.892,16.63,15.49,23.92,7.55,0,0,0,0,53.3,-8.8,40
ATHENRY,2017,8,31,7,2,0,4.55,100.1,18.2,35.7,31,31,0,0,0,0,5.426,15.57,15.19,21.07,7.081,0,0,0,0,53.3,-8.8,40
ATHENRY,2017,9,30,10,1,0,5.509,121.2,18.6,37.8,30,30,0,0,0,0,2.186,14.78,12.78,20.74,7.088,0,0,0,0,53.3,-8.8,40
ATHENRY,2017,10,31,10,3,1,6.741,114.6,22,44.1,31,31,0,0,0,0,1.885,13.02,12.16,16.89,6.465,0,0,0,0,53.3,-8.8,40
ATHENRY,2017,11,30,5,3,0,4.5,85.5,18,35.5,29,29,5,0,0,0,-2.825,11.45,4.642,13.49,6.448,0,0,0,0,53.3,-8.8,40
ATHENRY,2017,12,31,9,4,2,7.79,155.8,38,53.8,31,31,10,0,0,0,-4.056,9.45,2.149,13.52,6.242,0,0,0,0,53.3,-8.8,40
ATHENRY,2018,1,31,14,4,1,7.196,172.7,20.9,54.1,31,31,8,0,0,0,-6.763,8.16,3.617,11.91,6.648,0,0,0,0,53.3,-8.8,40
ATHENRY,2018,2,28,6,1,0,4.524,76.9,12.1,35.9,28,28,15,0,0,1,-3.398,7.244,-0.432,12.48,7.171,0,0,0,0,53.3,-8.8,40
ATHENRY,2018,3,31,4,2,0,5.14,77.1,18.8,35.1,31,31,13,0,0,0,-5.418,7.232,0.462,13.45,7.6,0,0,0,0,53.3,-8.8,40
ATHENRY,2018,4,30,6,2,0,4.918,83.6,12.3,25.3,30,30,2,0,0,0,-4.176,10.94,6.522,17.86,7.629,0,0,0,0,53.3,-8.8,40
ATHENRY,2018,5,31,4,1,1,6.9,55.2,25.5,27.8,31,31,0,0,1,0,0.703,12.85,11.81,25.79,9.168,0,0,0,0,53.3,-8.8,40
ATHENRY,2018,6,30,2,0,0,4.64,23.2,8.4,14.8,30,30,0,0,7,0,3.226,16.2,15.11,30.17,10.501,0,0,0,0,53.3,-8.8,40
ATHENRY,2018,7,31,6,2,0,7.11,71.1,15.7,40.5,31,31,0,0,2,0,7.851,16.44,16.64,25.68,8.585,0,0,0,0,53.3,-8.8,40
ATHENRY,2018,8,31,9,4,0,6.617,119.1,18.4,38.5,31,31,0,0,0,0,4.738,15.72,15.54,21.3,6.464,0,0,0,0,53.3,-8.8,40
ATHENRY,2018,9,30,7,3,0,5.962,95.4,14.6,37.1,30,30,1,0,0,0,-0.571,13.23,11.53,22.01,7.602,0,0,0,0,53.3,-8.8,40
ATHENRY,2018,10,31,3,2,0,4.853,72.8,15.4,36.7,31,31,3,0,0,0,-1.746,13.61,7.434,20.7,7.197,0,0,0,0,53.3,-8.8,40
ATHENRY,2018,11,30,7,1,0,4.888,83.1,15,26.9,30,30,2,0,0,0,-2.558,11.85,6.068,15.1,6.857,0,0,0,0,53.3,-8.8,40
ATHENRY,2018,12,31,10,3,0,5.752,120.8,14.9,35.9,31,31,1,0,0,0,-2.398,8.86,6.801,14.13,5.165,0,0,0,0,53.3,-8.8,40
ATHENRY,2019,1,31,7,1,0,4.06,81.2,11.8,29.2,31,31,6,0,0,0,-2.458,9.2,3.175,11.98,4.896,0,0,0,0,53.3,-8.8,40
ATHENRY,2019,2,28,5,2,0,5.562,72.3,13.1,44.7,28,28,3,0,0,0,-5.137,11.46,4.339,17.03,7.692,0,0,0,0,53.3,-8.8,40
ATHENRY,2019,3,31,10,7,1,9.265,157.5,26.4,69.2,31,31,1,0,0,0,-0.281,9.85,4.943,13.68,6.704,0,0,0,0,53.3,-8.8,40
ATHENRY,2019,4,30,4,2,0,5.108,66.4,13,27,30,30,1,0,0,0,-1.033,11.16,6.837,21.7,8.502,0,0,0,0,53.3,-8.8,40
ATHENRY,2019,5,31,3,1,0,4.036,44.4,12.7,32.7,31,31,2,0,0,0,-0.524,13.98,11.52,20.32,9.204,0,0,0,0,53.3,-8.8,40
ATHENRY,2019,6,30,6,2,0,5.583,67,12.7,33.6,30,30,0,0,0,0,2.547,14.93,11.51,24.28,8.131,0,0,0,0,53.3,-8.8,40
ATHENRY,2019,7,31,2,2,1,7.344,66.1,27.2,47.4,31,31,0,0,0,0,5.547,17.94,17.05,22.93,7.869,0,0,0,0,53.3,-8.8,40
ATHENRY,2019,8,31,17,11,4,12.333,296,58.3,107.7,31,31,0,0,0,0,5.59,16.2,15.85,23.52,6.966,0,0,0,0,53.3,-8.8,40
ATHENRY,2019,9,30,13,9,2,10.256,184.6,31.1,83.3,30,30,0,0,0,0,3.479,13.53,12.38,22.11,7.655,0,0,0,0,53.3,-8.8,40
ATHENRY,2019,10,31,10,5,0,6.021,114.4,14.8,55.4,31,31,3,0,0,0,-2.048,11.8,7.298,16.29,6.9,0,0,0,0,53.3,-8.8,40
ATHENRY,2019,11,30,8,2,0,7.033,105.5,18.1,41.4,30,30,8,0,0,0,-4.161,9.36,5.933,12.77,6.291,0,0,0,0,53.3,-8.8,40
ATHENRY,2019,12,31,10,4,0,6.004,144.1,17.5,52.1,31,31,8,0,0,0,-3.247,10.12,4.573,12.8,5.802,0,0,0,0,53.3,-8.8,40
ATHENRY,2020,1,31,11,3,1,6.659,113.2,20.4,50.6,31,31,5,0,0,0,-4.352,8.64,4.379,13.52,5.764,0,0,0,0,53.3,-8.8,40
ATHENRY,2020,2,29,14,7,5,9.65,250.9,33.3,96.7,29,29,3,0,0,0,-2.034,7.271,5.739,11.43,6.48,0,0,0,0,53.3,-8.8,40
ATHENRY,2020,3,31,7,3,1,7.769,101,23.7,52.1,31,31,7,0,0,0,-3.041,8.67,5.486,15.28,7.555,0,0,0,0,53.3,-8.8,40
ATHENRY,2020,4,30,3,1,0,6.614,46.3,19.4,33.8,30,30,3,0,0,0,-1.054,9.45,9.68,20.4,9.842,0,0,0,0,53.3,-8.8,40
ATHENRY,2020,5,31,5,2,0,6.714,47,10.6,34.3,31,31,2,0,1,0,-1.625,12.38,12.3,25.35,10.207,0,0,0,0,53.3,-8.8,40
ATHENRY,2020,6,30,4,2,0,5.845,64.3,17.4,37.6,30,30,0,0,1,0,5.057,13.74,13.07,26.64,7.461,0,0,0,0,53.3,-8.8,40
ATHENRY,2020,7,31,13,7,1,9.4,169.2,24.2,48.8,31,31,0,0,0,0,3.997,15.44,14.79,20.9,6.535,0,0,0,0,53.3,-8.8,40
ATHENRY,2020,8,31,7,5,0,7.16,107.4,17.3,39.6,31,31,0,0,0,0,5.054,16.06,15.82,24.9,7.631,0,0,0,0,53.3,-8.8,40
ATHENRY,2020,9,30,6,3,0,5.9,88.5,18.8,30.7,30,30,1,0,0,0,-0.003,16.07,13.14,23.48,7.235,0,0,0,0,53.3,-8.8,40
ATHENRY,2020,10,31,11,5,2,8.33,166.6,35.3,73.6,31,31,0,0,0,0,1.897,10.9,11.07,15.77,6.929,0,0,0,0,53.3,-8.8,40
ATHENRY,2020,11,30,11,4,1,8.494,144.4,23.8,78.5,30,30,4,0,0,0,-1.631,11.46,7.067,15.5,6.406,0,0,0,0,53.3,-8.8,40
ATHENRY,2020,12,31,12,5,1,7.38,147.6,20.6,46.5,31,31,6,0,0,0,-4.517,8.23,2.94,12.02,5.547,0,0,0,0,53.3,-8.8,40
ATHENRY,2021,1,31,13,7,2,9.912,168.5,26.1,62.6,31,31,15,0,0,0,-6.408,8.88,2.584,11.41,6.878,0,0,0,0,53.3,-8.8,40
ATHENRY,2021,2,28,9,3,1,6.694,107.1,22,45.7,28,28,5,0,0,0,-2.445,8.94,2.332,13.4,5.993,0,0,0,0,53.3,-8.8,40
ATHENRY,2021,3,31,8,3,0,7.186,100.6,19.3,50.6,31,31,1,0,0,0,-0.599,10.84,4.958,15.78,6.096,0,0,0,0,53.3,-8.8,40
ATHENRY,2021,4,30,0,0,0,3.333,20,4.7,16.9,30,30,5,0,0,0,-3.658,7.734,7.87,18.55,9.982,0,0,0,0,53.3,-8.8,40
ATHENRY,2021,5,31,6,3,0,5.931,94.9,15.9,28,31,31,4,0,0,0,-2.934,9.73,10.62,21.79,9.927,0,0,0,0,53.3,-8.8,40
ATHENRY,2021,6,30,3,0,0,3.733,22.4,6.9,13.3,30,30,0,0,0,0,2.061,14.99,14.41,21.15,8.552,0,0,0,0,53.3,-8.8,40
ATHENRY,2021,7,31,4,1,0,5.055,55.6,12.4,29.1,31,31,0,0,10,0,6.549,17.01,16.46,29.49,9.067,0,0,0,0,53.3,-8.8,40
ATHENRY,2021,8,31,7,2,0,6.338,82.4,16,36.7,31,31,0,0,1,0,7.408,15.99,16.19,26.34,7.127,0,0,0,0,53.3,-8.8,40
ATHENRY,2021,9,30,9,2,0,5.606,89.7,12.7,47,30,30,0,0,1,0,3.076,16.56,13.47,26.93,6.177,0,0,0,0,53.3,-8.8,40
ATHENRY,2021,10,31,13,4,1,8.263,157,25.8,58.5,31,31,0,0,0,0,3.179,15.76,10.08,18.51,6.434,0,0,0,0,53.3,-8.8,40
ATHENRY,2021,11,30,4,3,0,4.973,74.6,13.7,36.6,30,30,3,0,0,0,-2.599,10.72,5.759,16.18,6.379,0,0,0,0,53.3,-8.8,40
ATHENRY,2021,12,31,12,3,0,5.942,112.9,11.7,37.4,31,31,0,0,0,0,1.049,11.26,6.014,14.62,5.406,0,0,0,0,53.3,-8.8,40
ATHENRY,2022,1,31,4,0,0,4.162,54.1,9.8,28.2,31,31,5,0,0,0,-3.027,11.84,4.965,12.34,6.279,0,0,0,0,53.3,-8.8,40
ATHENRY,2022,2,28,11,5,1,6.414,141.1,20.9,52,28,28,1,0,0,0,-1.655,8.83,7.165,12.56,5.808,0,0,0,0,53.3,-8.8,40
ATHENRY,2022,3,31,2,2,0,4.167,37.5,11.4,27.1,31,31,11,0,0,0,-5.454,7.711,8.21,18.07,10.692,0,0,0,0,53.3,-8.8,40
ATHENRY,2022,4,30,4,0,0,4.142,49.7,8.2,19.3,30,30,5,0,0,0,-3.935,10.38,9.14,17.24,9.11,0,0,0,0,53.3,-8.8,40
ATHENRY,2022,5,31,7,1,0,5.067,76,10.2,26.3,31,31,0,0,0,0,3.847,12.88,13.44,19.85,7.418,0,0,0,0,53.3,-8.8,40
ATHENRY,2022,6,30,5,3,0,5.862,76.2,17.4,48.2,30,30,0,0,0,0,5.069,14.86,14.82,22.49,7.076,0,0,0,0,53.3,-8.8,40
ATHENRY,2022,7,31,6,3,0,9.043,63.3,15.8,36.9,31,31,0,0,3,0,9.14,16.19,16,30.47,7.848,0,0,0,0,53.3,-8.8,40
ATHENRY,2022,8,31,3,2,2,7.75,77.5,30.1,50.9,31,31,0,0,4,0,5.392,14.34,16.73,28.47,10.298,0,0,0,0,53.3,-8.8,40
ATHENRY,2022,9,30,9,5,0,8.754,113.8,19.6,39.5,30,30,0,0,0,0,2.227,14.39,12.85,21.26,8.871,0,0,0,0,53.3,-8.8,40
ATHENRY,2022,10,31,19,9,0,7.588,197.3,15.9,50.3,31,31,0,0,0,0,2.788,13.42,10.4,17.95,6.304,0,0,0,0,53.3,-8.8,40
ATHENRY,2022,11,30,13,6,0,7.3,153.3,17.3,56.7,30,30,2,0,0,0,-1.778,13.99,8.36,16.41,6.65,0,0,0,0,53.3,-8.8,40
ATHENRY,2022,12,31,9,2,1,6.806,115.7,28.8,50.6,31,31,12,0,0,2,-8.11,9.39,-1.503,13.37,6.283,0,0,0,0,53.3,-8.8,40
ATHENRY,2023,1,31,8,3,1,6.365,108.2,23.8,68.8,31,31,7,0,0,0,-5.991,8.8,2.733,12.97,6.041,0,0,0,0,53.3,-8.8,40
ATHENRY,2023,2,28,4,0,0,4.525,36.2,8.2,25.1,28,28,5,0,0,0,-3.899,9.37,7.492,14.43,6.059,0,0,0,0,53.3,-8.8,40
ATHENRY,2023,3,31,13,6,2,8.409,185,24.5,76.8,31,31,6,0,0,0,-2.194,10.37,1.815,15.64,6.814,0,0,0,0,53.3,-8.8,40
ATHENRY,2023,4,30,7,2,1,7.038,91.5,22,46,30,30,3,0,0,0,-1.198,11.04,9.06,20.37,8.181,0,0,0,0,53.3,-8.8,40
ATHENRY,2023,5,31,5,1,0,6.27,62.7,10.1,30.4,31,31,0,0,0,0,1.643,12.73,12.74,23.12,9.336,0,0,0,0,53.3,-8.8,40
ATHENRY,2023,6,30,7,4,0,5.713,91.4,13.4,40.2,30,30,0,0,2,0,7.334,16.98,16.49,27,9.974,0,0,0,0,53.3,-8.8,40
ATHENRY,2023,7,31,12,8,2,10.073,221.6,51.5,82.8,31,31,0,0,0,0,6.634,14.93,15.69,22.05,6.692,0,0,0,0,53.3,-8.8,40
ATHENRY,2023,8,31,8,4,2,7.394,125.7,23.8,43.1,31,31,0,0,0,0,6.589,15.36,15.95,24.91,7.14,0,0,0,0,53.3,-8.8,40
ATHENRY,2023,9,30,10,7,1,8.765,149,23.1,61.3,30,30,0,0,4,0,3.84,16.1,13.04,27.71,8.443,0,0,0,0,53.3,-8.8,40
ATHENRY,2023,10,31,12,7,2,10.471,178,29.6,67.4,31,31,1,0,0,0,-0.271,14.34,10.64,20.66,6.936,0,0,0,0,53.3,-8.8,40
ATHENRY,2023,11,30,9,2,0,6.271,106.6,17.4,47.8,30,30,4,0,0,0,-0.961,10.9,4.117,13.72,6.301,0,0,0,0,53.3,-8.8,40
ATHENRY,2023,12,31,13,9,2,10.933,196.8,21.2,74.5,31,31,8,0,0,0,-5.008,10.86,1.803,12.7,5.64,0,0,0,0,53.3,-8.8,40
BALLYHAISE,1993,1,0,0,0,0,0,0,0,0,30,31,2,0,0,0,-2.2,8.8,5.6,14,7.41,0,0,0,0,54.1,-7.3,78
BALLYHAISE,1993,2,28,3,0,0,4.386,30.7,8.2,18.8,28,28,4,0,0,0,-2.9,8.5,6,11.2,5.518,0,0,0,0,54.1,-7.3,78
BALLYHAISE,1993,3,31,1,1,1,5.242,62.9,32.7,45.4,31,31,8,0,0,0,-5.5,9.2,4.9,14.9,7.565,0,0,0,0,54.1,-7.3,78
BALLYHAISE,1993,4,30,10,3,0,7.46,111.9,16.4,54.3,30,30,1,0,0,0,-0.5,9,7.2,20.2,8.127,0,0,0,0,54.1,-7.3,78
BALLYHAISE,1993,5,27,0,0,0,0,0,0,0,31,31,2,0,0,0,-1.6,11.4,9,20.5,9.532,0,0,0,0,54.1,-7.3,78
BALLYHAISE,1993,6,0,0,0,0,0,0,0,0,30,30,0,0,0,0,3,13.6,13.2,23.7,8.257,0,0,0,0,54.1,-7.3,78
BALLYHAISE,1993,7,31,4,1,0,4.028,72.5,15.4,31.1,31,31,0,0,0,0,4,14.3,15.4,21.1,7.368,0,0,0,0,54.1,-7.3,78
BALLYHAISE,1993,8,31,6,1,0,5.68,56.8,10.9,28.9,29,29,0,0,0,0,3,14.4,15.3,21.1,9.131,0,0,0,0,54.1,-7.3,78
BALLYHAISE,1993,9,30,6,2,0,6.867,82.4,18.9,30.5,29,29,0,0,0,0,0.7,11.6,12.1,21,9.755,0,0,0,0,54.1,-7.3,78
BALLYHAISE,1993,10,31,2,1,0,3.962,31.7,12.4,26.6,31,31,10,0,0,0,-5,7.9,8.2,15.3,9.055,0,0,0,0,54.1,-7.3,78
